date,weekday,high_f,low_f,precip_in,cloud_pct,sunrise,sunset,conditions
2015-03-20,Fri,50,39,0.52,100,7:14 AM,7:22 PM,Light rain
2015-03-21,Sat,62,39,0.0,95,7:12 AM,7:22 PM,Overcast
2015-03-22,Sun,60,47,0.0,98,7:11 AM,7:23 PM,Overcast
2015-03-23,Mon,51,41,0.0,74,7:09 AM,7:24 PM,Overcast
2015-03-24,Tue,60,35,0.0,37,7:08 AM,7:25 PM,Overcast
2015-03-25,Wed,65,40,0.02,72,7:07 AM,7:26 PM,Light drizzle
2015-03-26,Thu,72,57,0.78,92,7:05 AM,7:27 PM,Rain
2015-03-27,Fri,64,41,0.23,99,7:04 AM,7:28 PM,Drizzle
2015-03-28,Sat,45,36,0.02,54,7:02 AM,7:28 PM,Light drizzle
2015-03-29,Sun,47,26,0.0,20,7:01 AM,7:29 PM,Overcast
2015-03-30,Mon,63,39,0.04,55,6:59 AM,7:30 PM,Drizzle
2015-03-31,Tue,68,38,0.0,7,6:58 AM,7:31 PM,Mostly clear
2015-04-01,Wed,59,43,0.0,3,6:56 AM,7:32 PM,Mostly clear
2015-04-02,Thu,68,39,0.0,44,6:55 AM,7:33 PM,Overcast
2015-04-03,Fri,79,57,0.0,83,6:53 AM,7:34 PM,Overcast
2015-04-04,Sat,69,48,0.09,57,6:52 AM,7:34 PM,Heavy drizzle
2015-04-05,Sun,63,38,0.0,34,6:50 AM,7:35 PM,Overcast
2015-04-06,Mon,71,49,0.0,87,6:49 AM,7:36 PM,Overcast
2015-04-07,Tue,71,57,0.09,97,6:48 AM,7:37 PM,Drizzle
2015-04-08,Wed,75,60,0.15,88,6:46 AM,7:38 PM,Heavy drizzle
2015-04-09,Thu,67,54,0.0,100,6:45 AM,7:39 PM,Overcast
2015-04-10,Fri,80,59,0.14,97,6:43 AM,7:40 PM,Light rain
2015-04-11,Sat,72,58,0.0,60,6:42 AM,7:40 PM,Overcast
2015-04-12,Sun,69,48,0.0,38,6:41 AM,7:41 PM,Overcast
2015-04-13,Mon,75,49,0.0,54,6:39 AM,7:42 PM,Overcast
2015-04-14,Tue,73,59,0.63,99,6:38 AM,7:43 PM,Rain
2015-04-15,Wed,62,54,0.0,100,6:37 AM,7:44 PM,Light drizzle
2015-04-16,Thu,68,51,0.07,83,6:35 AM,7:45 PM,Drizzle
2015-04-17,Fri,74,58,0.0,96,6:34 AM,7:46 PM,Overcast
2015-04-18,Sat,78,58,0.01,71,6:33 AM,7:46 PM,Light drizzle
2015-04-19,Sun,68,60,0.83,100,6:31 AM,7:47 PM,Rain
2015-04-20,Mon,79,65,0.61,88,6:30 AM,7:48 PM,Rain
2015-04-21,Tue,69,58,0.06,37,6:29 AM,7:49 PM,Heavy drizzle
2015-04-22,Wed,74,48,0.01,8,6:27 AM,7:50 PM,Light drizzle
2015-04-23,Thu,63,50,0.0,18,6:26 AM,7:51 PM,Overcast
2015-04-24,Fri,62,43,0.0,33,6:25 AM,7:52 PM,Overcast
2015-04-25,Sat,56,45,0.21,95,6:24 AM,7:53 PM,Heavy drizzle
2015-04-26,Sun,54,45,0.08,88,6:22 AM,7:53 PM,Drizzle
2015-04-27,Mon,64,40,0.0,24,6:21 AM,7:54 PM,Overcast
2015-04-28,Tue,65,44,0.0,39,6:20 AM,7:55 PM,Overcast
2015-04-29,Wed,70,46,0.0,74,6:19 AM,7:56 PM,Overcast
2015-04-30,Thu,67,51,0.0,69,6:18 AM,7:57 PM,Overcast
2015-05-01,Fri,56,49,0.39,92,6:17 AM,7:58 PM,Rain
2015-05-02,Sat,68,44,0.0,42,6:16 AM,7:59 PM,Light drizzle
2015-05-03,Sun,76,51,0.0,48,6:15 AM,7:59 PM,Overcast
2015-05-04,Mon,78,54,0.0,10,6:14 AM,8:00 PM,Mostly clear
2015-05-05,Tue,80,60,0.0,11,6:13 AM,8:01 PM,Mostly clear
2015-05-06,Wed,80,58,0.0,76,6:12 AM,8:02 PM,Overcast
2015-05-07,Thu,78,57,0.0,68,6:11 AM,8:03 PM,Overcast
2015-05-08,Fri,79,58,0.01,55,6:10 AM,8:04 PM,Light drizzle
2015-05-09,Sat,80,62,0.05,66,6:09 AM,8:05 PM,Drizzle
2015-05-10,Sun,78,67,0.61,97,6:08 AM,8:05 PM,Rain
2015-05-11,Mon,81,67,0.59,80,6:07 AM,8:06 PM,Rain
2015-05-12,Tue,86,70,0.03,63,6:06 AM,8:07 PM,Drizzle
2015-05-13,Wed,76,63,0.0,42,6:05 AM,8:08 PM,Overcast
2015-05-14,Thu,68,52,0.0,82,6:04 AM,8:09 PM,Overcast
2015-05-15,Fri,73,52,0.0,89,6:03 AM,8:10 PM,Overcast
2015-05-16,Sat,81,60,0.0,64,6:03 AM,8:11 PM,Overcast
2015-05-17,Sun,84,65,0.0,82,6:02 AM,8:11 PM,Overcast
2015-05-18,Mon,87,69,0.11,58,6:01 AM,8:12 PM,Light rain
2015-05-19,Tue,86,69,0.04,74,6:00 AM,8:13 PM,Drizzle
2015-05-20,Wed,82,68,0.0,33,6:00 AM,8:14 PM,Overcast
2015-05-21,Thu,74,56,0.37,88,5:59 AM,8:14 PM,Rain
2015-05-22,Fri,72,54,0.0,16,5:58 AM,8:15 PM,Overcast
2015-05-23,Sat,75,54,0.0,24,5:58 AM,8:16 PM,Overcast
2015-05-24,Sun,78,55,0.0,84,5:57 AM,8:17 PM,Overcast
2015-05-25,Mon,80,61,0.0,71,5:57 AM,8:17 PM,Overcast
2015-05-26,Tue,82,63,0.0,55,5:56 AM,8:18 PM,Overcast
2015-05-27,Wed,84,71,0.0,84,5:56 AM,8:19 PM,Light drizzle
2015-05-28,Thu,84,68,0.01,76,5:55 AM,8:20 PM,Light drizzle
2015-05-29,Fri,84,68,0.02,37,5:55 AM,8:20 PM,Light drizzle
2015-05-30,Sat,82,66,0.0,55,5:54 AM,8:21 PM,Light drizzle
2015-05-31,Sun,85,67,0.0,32,5:54 AM,8:22 PM,Partly cloudy
2015-06-01,Mon,87,70,0.11,49,5:54 AM,8:22 PM,Drizzle
2015-06-02,Tue,78,66,1.2,89,5:53 AM,8:23 PM,Rain
2015-06-03,Wed,65,62,0.48,100,5:53 AM,8:24 PM,Light rain
2015-06-04,Thu,70,62,0.79,100,5:53 AM,8:24 PM,Rain
2015-06-05,Fri,72,62,0.0,88,5:52 AM,8:25 PM,Light drizzle
2015-06-06,Sat,81,59,0.22,24,5:52 AM,8:25 PM,Rain
2015-06-07,Sun,79,61,0.0,46,5:52 AM,8:26 PM,Overcast
2015-06-08,Mon,84,62,0.0,67,5:52 AM,8:26 PM,Light drizzle
2015-06-09,Tue,83,70,0.15,95,5:52 AM,8:27 PM,Light rain
2015-06-10,Wed,85,68,0.0,54,5:52 AM,8:27 PM,Overcast
2015-06-11,Thu,87,70,0.0,26,5:52 AM,8:28 PM,Light drizzle
2015-06-12,Fri,87,73,0.09,40,5:52 AM,8:28 PM,Heavy drizzle
2015-06-13,Sat,92,74,0.07,37,5:52 AM,8:29 PM,Heavy drizzle
2015-06-14,Sun,90,73,0.0,32,5:52 AM,8:29 PM,Overcast
2015-06-15,Mon,94,74,0.0,18,5:52 AM,8:30 PM,Mostly clear
2015-06-16,Tue,96,76,0.0,15,5:52 AM,8:30 PM,Mostly clear
2015-06-17,Wed,87,75,0.03,50,5:52 AM,8:30 PM,Drizzle
2015-06-18,Thu,93,75,0.04,60,5:52 AM,8:31 PM,Drizzle
2015-06-19,Fri,92,76,0.0,76,5:52 AM,8:31 PM,Overcast
2015-06-20,Sat,92,75,0.27,89,5:52 AM,8:31 PM,Rain
2015-06-21,Sun,94,77,0.04,16,5:53 AM,8:31 PM,Light drizzle
2015-06-22,Mon,92,76,0.0,47,5:53 AM,8:32 PM,Overcast
2015-06-23,Tue,95,77,0.08,45,5:53 AM,8:32 PM,Light rain
2015-06-24,Wed,88,77,0.0,81,5:53 AM,8:32 PM,Overcast
2015-06-25,Thu,87,71,0.06,80,5:54 AM,8:32 PM,Light rain
2015-06-26,Fri,85,73,0.03,81,5:54 AM,8:32 PM,Light drizzle
2015-06-27,Sat,83,69,0.78,91,5:54 AM,8:32 PM,Rain
2015-06-28,Sun,82,70,0.01,42,5:55 AM,8:32 PM,Light drizzle
2015-06-29,Mon,83,63,0.0,25,5:55 AM,8:32 PM,Partly cloudy
2015-06-30,Tue,89,70,0.01,45,5:55 AM,8:32 PM,Light drizzle
2015-07-01,Wed,86,70,0.0,68,5:56 AM,8:32 PM,Overcast
2015-07-02,Thu,86,72,0.25,91,5:56 AM,8:32 PM,Rain
2015-07-03,Fri,83,69,0.44,97,5:57 AM,8:32 PM,Rain
2015-07-04,Sat,86,72,0.04,72,5:57 AM,8:32 PM,Light drizzle
2015-07-05,Sun,86,71,0.5,89,5:58 AM,8:32 PM,Rain
2015-07-06,Mon,86,73,0.19,61,5:58 AM,8:31 PM,Rain
2015-07-07,Tue,88,72,0.01,19,5:59 AM,8:31 PM,Light drizzle
2015-07-08,Wed,87,75,0.0,96,5:59 AM,8:31 PM,Overcast
2015-07-09,Thu,93,75,0.0,77,6:00 AM,8:31 PM,Overcast
2015-07-10,Fri,90,76,0.0,19,6:01 AM,8:30 PM,Partly cloudy
2015-07-11,Sat,82,71,0.74,55,6:01 AM,8:30 PM,Heavy rain
2015-07-12,Sun,82,70,0.0,86,6:02 AM,8:30 PM,Overcast
2015-07-13,Mon,80,71,0.2,88,6:03 AM,8:29 PM,Light rain
2015-07-14,Tue,88,72,0.03,77,6:03 AM,8:29 PM,Drizzle
2015-07-15,Wed,84,75,0.0,36,6:04 AM,8:28 PM,Overcast
2015-07-16,Thu,82,71,0.0,56,6:05 AM,8:28 PM,Overcast
2015-07-17,Fri,86,66,0.0,38,6:05 AM,8:27 PM,Overcast
2015-07-18,Sat,90,72,0.4,75,6:06 AM,8:27 PM,Rain
2015-07-19,Sun,91,74,0.06,62,6:07 AM,8:26 PM,Light rain
2015-07-20,Mon,92,76,0.0,73,6:07 AM,8:26 PM,Overcast
2015-07-21,Tue,92,77,0.12,72,6:08 AM,8:25 PM,Rain
2015-07-22,Wed,86,74,0.0,42,6:09 AM,8:24 PM,Overcast
2015-07-23,Thu,81,71,0.25,81,6:09 AM,8:24 PM,Light rain
2015-07-24,Fri,84,70,0.0,43,6:10 AM,8:23 PM,Overcast
2015-07-25,Sat,84,65,0.0,40,6:11 AM,8:22 PM,Overcast
2015-07-26,Sun,87,67,0.0,50,6:12 AM,8:21 PM,Overcast
2015-07-27,Mon,85,72,0.07,71,6:13 AM,8:21 PM,Light rain
2015-07-28,Tue,87,73,0.02,55,6:13 AM,8:20 PM,Light drizzle
